iter	Passed	Remaining
0	2	235
1	3	194
2	5	171
3	6	154
4	8	155
5	9	152
6	11	148
7	13	150
8	14	150
9	16	147
10	17	144
11	19	143
12	21	143
13	22	139
14	24	136
15	25	135
16	27	134
17	29	134
18	30	131
19	32	128
20	33	126
21	35	125
22	36	123
23	38	122
24	40	122
25	42	121
26	44	120
27	46	118
28	47	116
29	49	115
30	51	114
31	53	113
32	55	112
33	57	110
34	59	109
35	60	107
36	62	106
37	64	104
38	65	103
39	67	101
40	69	99
41	69	96
42	71	94
43	73	93
44	75	92
45	77	90
46	79	89
47	80	87
48	82	85
49	84	84
50	85	82
51	87	81
52	89	79
53	91	78
54	93	76
55	94	74
56	96	72
57	98	71
58	100	69
59	101	67
60	104	66
61	105	64
62	107	63
63	108	61
64	110	59
65	112	57
66	113	56
67	115	54
68	117	52
69	119	51
70	121	49
71	122	47
72	124	45
73	126	44
74	127	42
75	129	40
76	131	39
77	133	37
78	134	35
79	136	34
80	137	32
81	139	30
82	140	28
83	142	27
84	144	25
85	145	23
86	148	22
87	149	20
88	150	18
89	152	16
90	154	15
91	155	13
92	157	11
93	158	10
94	160	8
95	161	6
96	163	5
97	164	3
98	166	1
99	167	0
